time,price,size,pricepersqft,brs,title,neighborhood,link
2016-05-09 14:43:00,2700.0,-1.0,-2700.0,1.0,"1 Bed, 1 Bath Newly Renovated Jr. 1 Bedroom - Quiet Street",haight ashbury,https://sfbay.craigslist.org/sfc/apa/5578227166.html
2016-05-09 14:19:00,2833.0,-1.0,-2833.0,1.0,City Living! Junior One Bedroom Available!,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5578178385.html
2016-05-09 14:11:00,3074.0,-1.0,-3074.0,1.0,Your Furry Friends Live for Free! Live/Work Space!,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5578157869.html
2016-05-09 13:57:00,3025.0,-1.0,-3025.0,1.0,Move into Your Brand New Apartment Now! Tour THE CIVIC Today!,mission district,https://sfbay.craigslist.org/sfc/apa/5578147471.html
2016-05-09 13:54:00,3102.0,-1.0,-3102.0,1.0,Views of our Zen outdoor Terrace from this Brand New 1BR,castro / upper market,https://sfbay.craigslist.org/sfc/apa/5578142482.html
2016-05-09 13:53:00,2100.0,-1.0,-2100.0,1.0,Remodeled Jr. One Bedroom,downtown / civic / van ness,https://sfbay.craigslist.org/sfc/apa/5578125539.html
2016-05-09 13:48:00,2850.0,-1.0,-2850.0,1.0,"One bedroom, exposed brick, lots of counter space",hayes valley,https://sfbay.craigslist.org/sfc/apa/5578130706.html
2016-05-09 13:03:00,3250.0,-1.0,-3250.0,1.0,"1BD 2BA Soma Loft, Pets OK, Wood Floors",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5550656591.html
2016-05-09 12:13:00,2950.0,-1.0,-2950.0,1.0,MISSION DIST 1-2 BDRM APT,mission district,https://sfbay.craigslist.org/sfc/apa/5541139646.html
2016-05-09 12:09:00,2850.0,-1.0,-2850.0,1.0,SMALL 1BDRM ON DOLORES,castro / upper market,https://sfbay.craigslist.org/sfc/apa/5540980081.html
2016-05-09 11:22:00,3000.0,-1.0,-3000.0,1.0,"Remodeled One Bedroom, Hardwood Flrs, Heart of the Lower Haight",lower haight,https://sfbay.craigslist.org/sfc/apa/5555946118.html
2016-05-09 11:22:00,3000.0,-1.0,-3000.0,1.0,"Remodeled One Bedroom, Hardwood Flrs, Heart of the Lower Haight",lower haight,https://sfbay.craigslist.org/sfc/apa/5555945338.html
2016-05-09 11:20:00,3000.0,-1.0,-3000.0,1.0,"Remodeled One Bedroom, Hardwood Flrs, Heart of the Lower Haight",lower haight,https://sfbay.craigslist.org/sfc/apa/5549924289.html
2016-05-09 11:20:00,3000.0,-1.0,-3000.0,1.0,"Remodeled One Bedroom, Hardwood Flrs, Heart of the Lower Haight",lower haight,https://sfbay.craigslist.org/sfc/apa/5549919208.html
2016-05-09 11:10:00,3117.0,-1.0,-3117.0,1.0,Your Brand New Home Awaits You At THE CIVIC! Learn about our Specials!,hayes valley,https://sfbay.craigslist.org/sfc/apa/5577811455.html
2016-05-09 11:08:00,3475.0,-1.0,-3475.0,1.0,Shipley Square: 821 Folsom St. #210 - Furnished or Unfurn,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5556021400.html
2016-05-09 11:06:00,3071.0,-1.0,-3071.0,1.0,Come Schedule Your Tour of THE CIVIC! NOW OPEN!,mission district,https://sfbay.craigslist.org/sfc/apa/5577806446.html
