time,price,size,pricepersqft,brs,title,neighborhood,link
2016-05-10 17:48:00,3263.0,530.0,6.156603773584906,1.0,Beautiful One Bedroom This July!,lower nob hill,https://sfbay.craigslist.org/sfc/apa/5580200049.html
2016-05-10 14:14:00,2550.0,600.0,4.25,1.0,OPEN HOUSE - Sat. May 14th 1pm to 3pm - Beautiful Details!,castro / upper market,https://sfbay.craigslist.org/sfc/apa/5574116889.html
2016-05-10 13:45:00,3282.0,565.0,5.808849557522124,1.0,Modern City Living! One Bedroom w/ Loft,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5570375457.html
2016-05-10 13:29:00,2100.0,450.0,4.666666666666667,1.0,Nice TL Junior One Bedroom,downtown / civic / van ness,https://sfbay.craigslist.org/sfc/apa/5562768094.html
2016-05-10 13:26:00,2100.0,450.0,4.666666666666667,1.0,Junior One Bedroom That Works For 2 Roommates,tenderloin,https://sfbay.craigslist.org/sfc/apa/5558521956.html
2016-05-10 12:02:00,3400.0,1000.0,3.4,1.0,"SOMA, LIGHT FILLED Loft Near Twitter - $3400",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5579645550.html
2016-05-10 12:01:00,3300.0,671.0,4.918032786885246,1.0,Need Space? No Elbow Room? The Answer is Here!- Take a look *W/Special,hayes valley,https://sfbay.craigslist.org/sfc/apa/5579643021.html
2016-05-10 11:56:00,3200.0,505.0,6.336633663366337,1.0,One Bedroom Luxury Apartments Ready for move in now!,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5579634518.html
2016-05-10 11:56:00,3400.0,740.0,4.594594594594595,1.0,SAN FRANCISCO MONTHLY RENTAL in SOMA-Hayes-Mission,mission district,https://sfbay.craigslist.org/sfc/apa/5548929480.html
2016-05-10 11:47:00,3500.0,950.0,3.6842105263157894,1.0,Beautiful furnished apartment in Haight- Buena Vista Park,San Francisco,https://sfbay.craigslist.org/sfc/apa/5579591985.html
2016-05-10 10:48:00,3300.0,769.0,4.291287386215865,1.0,"Downtown - 1 BR, 1 BA Condo, 769 Sq. Ft. - The Historic Garfield",downtown / civic / van ness,https://sfbay.craigslist.org/sfc/apa/5579502766.html
2016-05-10 10:39:00,3500.0,667.0,5.247376311844078,1.0,"Mission District - 1 BR, 1 BA Condo 667 Sq. Ft. - Parking & Storage",mission district,https://sfbay.craigslist.org/sfc/apa/5579484304.html
2016-05-10 10:32:00,2995.0,530.0,5.650943396226415,1.0,"SoMa - Jr 1 BR, 1 BA Condo 530 Sq. Ft. - Near AT&T; Park & Caltrain",SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5579468982.html
2016-05-10 09:29:00,2833.0,453.0,6.253863134657837,1.0,Gem in the City! Junior One Bedroom!,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5560935873.html
2016-05-10 09:01:00,3400.0,662.0,5.13595166163142,1.0,1bedroom/1 bathroom - 662sqft - Awesome One Bedroom Apartment,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5579273737.html
2016-05-10 07:10:00,2450.0,700.0,3.5,1.0,Large 1 Bedroom Flat available for SoMa summer sublet,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5568387176.html
2016-05-10 01:27:00,2100.0,450.0,4.666666666666667,1.0,Junior One Bedroom That Works For 2 Roommates,lower nob hill,https://sfbay.craigslist.org/sfc/apa/5559725560.html
2016-05-10 00:15:00,3500.0,673.0,5.200594353640416,1.0,1 Bedroom / 1 Bath Condo in SoMa,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5578811090.html
2016-05-09 23:02:00,2000.0,882.0,2.2675736961451247,1.0,1 Bed/bath Suite in Modern Complex w/ Gym,downtown / civic / van ness,https://sfbay.craigslist.org/sfc/apa/5578787769.html
2016-05-09 18:35:00,3147.0,769.0,4.092327698309493,1.0,Polk St 1 bedroom with amazing Walk In Closet! Today Only!,downtown / civic / van ness,https://sfbay.craigslist.org/sfc/apa/5578555056.html
2016-05-09 17:54:00,2695.0,689.0,3.911465892597968,1.0,THE SECRET GARDEN APARTMENTS!1BR you can make into a 2BR to share,tenderloin,https://sfbay.craigslist.org/sfc/apa/5578512616.html
2016-05-09 17:53:00,3495.0,756.0,4.623015873015873,1.0,Model unit at the Soma Grand. Flat screen TV included! ~ J.Wavro,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5578510694.html
2016-05-09 16:03:00,3400.0,740.0,4.594594594594595,1.0,SAN FRANCISCO MONTHLY RENTAL in SOMA-Hayes-Mission,mission district,https://sfbay.craigslist.org/sfc/apa/5548930949.html
2016-05-09 15:57:00,3100.0,650.0,4.769230769230769,1.0,SAN FRANCISCO MONTHLY RENTAL in Mission,mission district,https://sfbay.craigslist.org/sfc/apa/5547337390.html
2016-05-09 15:57:00,3406.0,814.0,4.184275184275184,1.0,Looking To Move? Come See Our Open Floor Plans!,downtown / civic / van ness,https://sfbay.craigslist.org/sfc/apa/5578325404.html
2016-05-09 13:46:00,2833.0,780.0,3.632051282051282,1.0,2 MONTHS FREE RENT! BARGAIN PRICE! MOVE-IN READY 1BD/1.5BA,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5578127033.html
2016-05-09 13:41:00,2833.0,780.0,3.632051282051282,1.0,2 MONTHS FREE RENT! BARGAIN PRICE! MOVE-IN READY 1BD/1.5BA,SOMA / south beach,https://sfbay.craigslist.org/sfc/apa/5570500101.html
